date,beta_const,beta_oil,beta_ofz,fair_expanding,deviation_pct
2022-07-15,3.2267399261644014,0.6401417216837558,-0.09236473922749269,3108.241153825876,-32.13139214106888
2022-07-18,3.246130027910392,0.6377926640466799,-0.09239228866272607,3076.247209214449,-31.851380678364194
2022-07-19,3.2650890844171485,0.6354987105799913,-0.09242227247185884,3061.250440233335,-32.33876024066418
2022-07-20,3.2841477149410014,0.6331928071939711,-0.09245272419597333,3062.4369630718493,-32.23566639822746
2022-07-21,3.3028444122151237,0.6309279444921775,-0.09248011667533883,3084.794701623233,-33.42701221188673
2022-07-22,3.322090155219094,0.628590166710369,-0.09250221382593769,3150.9741993354414,-33.45708763841302
2022-07-25,3.3410070026733085,0.6262783457751736,-0.09251034086701682,3138.3139976660073,-32.16230110870592
2022-07-26,3.3588285420153507,0.6241002897252483,-0.09251807656052144,3137.554767839014,-30.12329147293177
2022-07-27,3.375141681903073,0.6221051988978392,-0.09252389477816869,3132.2452675309746,-29.883524040529775
2022-07-28,3.3911250762571328,0.6201494721444664,-0.09252878664730667,3139.305854741942,-30.266112914953492
2022-07-29,3.407226009824848,0.6181770868416461,-0.09253154223111743,3137.4607782398234,-29.439436650360594
2022-08-01,3.4226836283362227,0.616282588156209,-0.09253335510844952,3131.08209768283,-30.372633741753862
2022-08-02,3.438585844849982,0.6143330581845746,-0.09253480210795628,3116.267112726904,-31.414736841035882
2022-08-03,3.4550152307226245,0.6123197395120533,-0.09253724030760703,3104.185243371341,-31.578825569917058
2022-08-04,3.4714087938199287,0.6103111878572437,-0.09254016421283612,3097.5740936224634,-31.66975394203527
2022-08-05,3.487707788306123,0.6083136544767317,-0.09254263841438129,3059.635691240407,-32.85834630961668
2022-08-08,3.504638211671648,0.6062435630250791,-0.09255010634173394,3052.78894160967,-31.590423054309426
2022-08-09,3.520568187664098,0.6042947452533401,-0.09255629664767866,3057.992599079005,-30.12409511247497
2022-08-10,3.5354595453275404,0.6024707001712023,-0.09255994532721208,3043.2464675410633,-29.302472772164013
2022-08-11,3.5497848634438545,0.6007172315821864,-0.09256474422885749,3003.351715502093,-28.97568443317029
2022-08-12,3.5638650306884614,0.5989988058367243,-0.09257449500003403,2995.916626996948,-28.324774439653066
2022-08-15,3.577462240378615,0.5973392866594072,-0.09258396877576756,2993.7721408277844,-27.679198744853718
2022-08-16,3.5905779453931577,0.5957376957301185,-0.09259237963390747,2988.3833180646407,-26.10285345086938
2022-08-17,3.6027496873001352,0.5942513525254081,-0.09260021415325863,2980.545349090983,-26.571826841437773
2022-08-18,3.615109434924366,0.5927424108466541,-0.09260857438902613,2975.148907483901,-26.245372307911154
2022-08-19,3.6272180017651348,0.5912641117248326,-0.09261679778276491,2952.112462163644,-25.641044230708722
2022-08-22,3.638969767657694,0.5898319235328112,-0.09262731788604284,2940.117423921644,-24.21697236064607
2022-08-23,3.6499280750174776,0.588497453117417,-0.09263815722161238,2933.612234899605,-22.9591432325975
2022-08-24,3.6601909763551297,0.5872479833640651,-0.0926486467697061,2936.9978043413075,-23.451764360299975
2022-08-25,3.6706003648943057,0.5859793457564073,-0.09265806910151311,2938.3042213720773,-23.54978141265971
2022-08-26,3.680964658255638,0.5847151883604229,-0.09266653617350501,2938.0440990603524,-22.775495414597824
2022-08-29,3.6908652578440595,0.5835069303355668,-0.09267403917019967,2944.4611683360936,-22.011876920161622
2022-08-30,3.7002922327246677,0.5823549055154369,-0.0926797279102096,2935.8928264390192,-21.43378057850539
2022-08-31,3.7093729828543687,0.5812454576548265,-0.09268553663494004,2939.3805704722354,-18.347422443007865
2022-09-01,3.716978761541609,0.5803157141260133,-0.09268990886850878,2941.885306709306,-16.863856166583325
2022-09-02,3.7238503517310835,0.5794750071984905,-0.0926932113781193,2971.2575596538913,-16.821414825852788
2022-09-05,3.7306226298840164,0.5786434525534206,-0.09269357500269879,2984.648298997401,-16.625352446520637
2022-09-06,3.7372420116991476,0.5778290422467814,-0.0926923832776358,2978.982863009038,-18.585298689828623
2022-09-07,3.744667829444967,0.5769153492844428,-0.09269104703375708,2979.7033594105587,-19.402379689397144
2022-09-08,3.7523727897128474,0.5759664109134803,-0.09268886872788672,2945.9324016242417,-18.86202145432383
2022-09-09,3.759793327201269,0.5750550256433449,-0.09268932971797035,2939.1421377907914,-17.456867131184406
2022-09-12,3.766566492634773,0.574223357301527,-0.0926899910995601,2945.3764645571146,-16.83066563892216
2022-09-13,3.7730221784912295,0.573429719107154,-0.09268972846869607,2921.3996325433673,-16.242544404315538
2022-09-14,3.779196907901905,0.5726721177915792,-0.09269100075994229,2926.3999234351077,-16.761547849527368
2022-09-15,3.7855518349632735,0.5718917043718068,-0.09269164428808609,2925.245926390319,-16.36292942320129
2022-09-16,3.7917033759693073,0.5711360164692167,-0.09269205526676257,2890.299550560852,-15.746449203596836
2022-09-19,3.7975952692169535,0.5704147629365561,-0.09269496683976294,2840.060146979659,-14.4194181033516
2022-09-20,3.8029524084740065,0.569762432014243,-0.09270103861909408,2684.412160706542,-17.461631547041133
2022-09-21,3.809630393012349,0.5689634498186574,-0.09272259549521171,2705.9542113871084,-21.25846065563063
2022-09-22,3.8179119914575823,0.5679699874852102,-0.0927467455519281,2619.8328547674905,-16.373672617582347
2022-09-23,3.8241400379795425,0.5672302730600244,-0.09277220827936573,2587.200953530621,-19.22274158302002
2022-09-26,3.8315511192185756,0.5663532127198732,-0.092805671347577,2530.492436439604,-23.597874778862483
2022-09-27,3.8408780241938945,0.5652566839115823,-0.09285500813513231,2575.382133253984,-24.148732152155926
2022-09-28,3.850373210610507,0.5641338078613998,-0.09289879166835407,2508.2742611734975,-21.704734191180243
2022-09-29,3.858792394626921,0.5631461831221919,-0.09294553384650975,2449.7695705364667,-20.246784697707287
2022-09-30,3.866550769053315,0.5622424922640361,-0.09299501003069359,2411.060311899775,-18.81953386484332
2022-10-03,3.8736402655509585,0.5614205072050752,-0.09304407084609528,2519.459101405997,-18.952445036298716
2022-10-04,3.8806521600801274,0.5605955214564018,-0.09308083538049852,2539.003363230433,-19.400658162331364
2022-10-05,3.88778264868151,0.5597541256096167,-0.09311585832199036,2528.3964051447842,-19.71670281330895
2022-10-06,3.8950047713524354,0.5589028010556037,-0.09315224835688049,2567.343633083966,-21.29491455833039
2022-10-07,3.902827580811673,0.5579757964305605,-0.09318687070028493,2561.4893240623587,-24.077372420364007
2022-10-10,3.911814917989898,0.5569114435287023,-0.09322727709867465,2520.905613857876,-23.95708948950457
2022-10-11,3.920786140352109,0.5558545387587771,-0.09327303076754018,2561.791700446307,-23.902478110910753
2022-10-12,3.929708926336673,0.5547976575069596,-0.09331288590810431,2576.730718770554,-24.258674537353343
2022-10-13,3.938783088511261,0.5537207419640345,-0.09335128957278413,2595.4004478038764,-24.66673103742385
2022-10-14,3.94800983404738,0.5526229456896041,-0.09338758370860818,2599.386446360527,-24.94459595526394
2022-10-17,3.957343447762629,0.5515117106863289,-0.09342356481977548,2622.3354001315415,-23.242084139998585
2022-10-18,3.965911064184725,0.5504884707233787,-0.09345343421256541,2623.1027048317665,-22.519236617906323
2022-10-19,3.9741529007963954,0.5495038342817189,-0.09348187122095998,2631.7701245135586,-24.826261170295925
2022-10-20,3.9833469290190204,0.5484040490653723,-0.0935122143738426,2640.078452810087,-23.278416296907512
2022-10-21,3.991858905081916,0.5473845631911669,-0.09353903656729165,2648.173903736384,-22.82568765153711
2022-10-24,4.000117130196691,0.54639396413782,-0.09356364241405919,2648.8974686570305,-22.082676871354867
2022-10-25,4.008013559181684,0.5454462154053998,-0.09358669382552286,2650.0566122252544,-19.599830804712816
