date,cnyrub,cnyrub_numtrades,cnyrub_wap
2014-01-06,0.0,0,5.394
2014-01-08,0.0,0,5.394
2014-01-09,5.482,13,5.4768
2014-01-10,5.483,6,5.4995
2014-01-13,5.496,3,5.4911
2014-01-14,5.51,2,5.51
2014-01-15,5.544,60,5.5359
2014-01-16,5.5494,19,5.5364
2014-01-17,5.54,15,5.5436
2014-01-20,5.592,10,5.5833
2014-01-21,5.64,28,5.6121
2014-01-22,5.6225,23,5.6119
2014-01-23,5.6464,23,5.6358
2014-01-24,5.75,19,5.6797
2014-01-27,5.7532,21,5.747
2014-01-28,5.8499,46,5.7343
2014-01-29,5.746,32,5.7286
2014-01-30,5.805,7,5.8404
2014-01-31,5.82,2,5.82
2014-02-03,5.82,3,5.8337
2014-02-04,5.85,5,5.8496
2014-02-05,5.77,11,5.8059
2014-02-06,5.772,4,5.7683
2014-02-07,5.756,24,5.7308
2014-02-10,5.769,24,5.7476
2014-02-11,5.753,43,5.7557
2014-02-12,5.773,24,5.7482
2014-02-13,5.8097,40,5.7645
2014-02-14,5.8122,68,5.8339
2014-02-17,5.8121,29,5.8061
2014-02-18,5.8425,49,5.8249
2014-02-19,5.9202,59,5.8753
2014-02-20,5.9,33,5.8934
2014-02-21,6.0392,20,5.8652
2014-02-24,5.8338,9,5.8261
2014-02-25,5.8133,14,5.8195
2014-02-26,5.89,17,5.8627
2014-02-27,5.93,47,5.8972
2014-02-28,5.8901,42,5.9009
2014-03-03,5.9518,23,5.944
2014-03-04,5.901,40,5.9232
2014-03-05,5.89,20,5.8945
2014-03-06,5.9245,17,5.9143
2014-03-07,5.9446,24,5.9378
2014-03-11,5.9346,17,5.9398
2014-03-12,5.936,9,5.9367
2014-03-13,5.9395,5,5.9386
2014-03-14,5.967,9,5.964
2014-03-17,5.9146,5,5.9376
2014-03-18,5.88,14,5.8943
2014-03-19,5.823,19,5.837
2014-03-20,5.8313,51,5.8101
2014-03-21,5.8475,35,5.8575
2014-03-24,5.8317,30,5.8277
2014-03-25,5.767,24,5.8001
2014-03-26,5.72,23,5.7078
2014-03-27,5.7359,16,5.7303
2014-03-28,5.75,14,5.749
2014-03-31,5.6944,89,5.697
2014-04-01,5.665,342,5.6586
2014-04-02,5.72,339,5.6945
2014-04-03,5.72,347,5.722
2014-04-04,5.6872,356,5.6939
2014-04-07,5.73,403,5.7265
2014-04-08,5.74,345,5.7286
2014-04-09,5.781,725,5.7645
2014-04-10,5.7313,1092,5.7263
2014-04-11,5.7613,1060,5.7385
2014-04-14,5.7642,1055,5.7762
2014-04-15,5.7965,1079,5.7816
2014-04-16,5.7742,1077,5.7906
2014-04-17,5.7551,1065,5.7733
2014-04-18,5.71,1081,5.715
2014-04-21,5.6707,1097,5.7244
2014-04-22,5.7136,1063,5.7238
2014-04-23,5.72,1067,5.7182
2014-04-24,5.723,1043,5.7129
2014-04-25,5.852,1067,5.7481
2014-04-28,5.76,918,5.7627
2014-04-29,5.8341,586,5.6999
2014-04-30,5.7088,912,5.7042
2014-05-02,0.0,0,5.7042
2014-05-05,5.7302,970,5.7357
2014-05-06,5.8,1073,5.7147
2014-05-07,5.6608,1062,5.6903
2014-05-08,5.625,1072,5.6198
2014-05-12,5.623,1070,5.6371
2014-05-13,5.5807,1090,5.5898
2014-05-14,5.57,1073,5.576
2014-05-15,5.579,1093,5.5706
2014-05-16,5.5752,1052,5.5811
2014-05-19,5.5425,1077,5.5481
2014-05-20,5.5393,990,5.544
2014-05-21,5.5215,986,5.5323
2014-05-22,5.5046,1088,5.5043
2014-05-23,5.4824,1074,5.4942
2014-05-26,5.4742,1060,5.4727
2014-05-27,5.4952,1097,5.4952
2014-05-28,5.5132,1089,5.5104
2014-05-29,5.5518,1081,5.5439
2014-05-30,5.5716,1054,5.5657
2014-06-02,5.585,1090,5.5832
2014-06-03,5.6054,1047,5.6004
2014-06-04,5.5966,1092,5.6237
2014-06-05,5.5557,1078,5.5698
2014-06-06,5.517,1073,5.5459
2014-06-09,5.505,22,5.5045
2014-06-10,5.5245,1046,5.5226
2014-06-11,5.5256,1080,5.5203
2014-06-13,5.5583,60,5.5511
2014-06-16,5.5014,1079,5.5653
2014-06-17,5.598,1079,5.5853
2014-06-18,5.5418,1078,5.5746
2014-06-19,5.506,1075,5.4992
2014-06-20,5.52,1076,5.5212
2014-06-23,5.4908,1062,5.5071
2014-06-24,5.427,1081,5.4509
2014-06-25,5.42,1086,5.4311
2014-06-26,5.4212,1086,5.4205
2014-06-27,5.4002,1141,5.413
2014-06-30,5.48,1067,5.4647
2014-07-01,5.5235,1059,5.52
2014-07-02,5.5205,1059,5.5128
2014-07-03,5.5099,1080,5.5055
2014-07-04,5.5435,1082,5.5356
